vehicle_id,customer_id,make,model,v_year,color,interior_color,miles,v_condition,repair_cost,book_price,sale_price,issue_log
1,18,Lexus,GX,2009,Puce,Teal,101483,2,8601.08,32725.52,70359.868,VESTIBULUM SED MAGNA AT NUNC COMMODO PLACERAT. PRAESENT BLANDIT. NAM NULLA.
2,84,Chevrolet,Camaro,1994,Maroon,Aquamarine,63508,2,3866.79,73468.6,157957.49,"SUSPENDISSE ORNARE CONSEQUAT LECTUS. IN EST RISUS, AUCTOR SED, TRISTIQUE IN, TEMPUS SIT AMET, SEM."
3,,Cadillac,Allante,1993,Crimson,Blue,251341,2,7488.73,71897.45,154579.5175,
4,22,Isuzu,Rodeo,2004,Khaki,Fuscia,130563,2,7205.74,33024.01,71001.6215,"DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM. INTEGER A NIBH. IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS."
5,88,Buick,Skyhawk,1984,Turquoise,Maroon,166909,0,2182.82,55285.09,118862.9435,"IN HAC HABITASSE PLATEA DICTUMST. MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT. CURABITUR GRAVIDA NISI AT NIBH. IN HAC HABITASSE PLATEA DICTUMST. ALIQUAM AUGUE QUAM, SOLLICITUDIN VITAE, CONSECTETUER EGET, RUTRUM AT, LOREM. INTEGER TINCIDUNT ANTE VEL IPSUM. PRAESENT BLANDIT LACINIA ERAT. VESTIBULUM SED MAGNA AT NUNC COMMODO PLACERAT."
6,39,Chevrolet,Corvette,1954,Green,Turquoise,145618,0,2698.39,86824.54,186672.761,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM."
7,33,Chevrolet,SSR,2003,Orange,Aquamarine,95259,3,548.7,6845.26,14717.309,"DUIS AC NIBH. FUSCE LACUS PURUS, ALIQUET AT, FEUGIAT NON, PRETIUM QUIS, LECTUS. SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST. MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT. CURABITUR GRAVIDA NISI AT NIBH."
8,5,Pontiac,Montana,2004,Puce,Crimson,130580,1,8990.57,36732.15,78974.1225,DUIS AT VELIT EU EST CONGUE ELEMENTUM. IN HAC HABITASSE PLATEA DICTUMST.
9,55,Jaguar,S-Type,2003,Crimson,Puce,191614,1,909.54,74032.89,159170.7135,"INTEGER A NIBH. IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET. MAECENAS LEO ODIO, CONDIMENTUM ID, LUCTUS NEC, MOLESTIE SED, JUSTO. PELLENTESQUE VIVERRA PEDE AC DIAM. CRAS PELLENTESQUE VOLUTPAT DUI."
10,,Lincoln,MKZ,2007,Goldenrod,Mauv,292917,1,2205.13,94467.65,203105.4475,
